ckpt_filename,validity,uniqueness,diversity,quality,quality2,sample_time,status,gpu_id
"1-255000.ckpt",1.000000,0.935000,0.827,0.780000,0.927000,13.942,OK,1
"1-263000.ckpt",1.000000,0.932000,0.827,0.789000,0.926000,14.025,OK,1
"1-271000.ckpt",1.000000,0.924000,0.825,0.790000,0.933000,14.411,OK,1
"1-279000.ckpt",1.000000,0.917000,0.829,0.776000,0.925000,13.704,OK,1
"1-287000.ckpt",1.000000,0.934000,0.829,0.793000,0.931000,14.226,OK,1
"1-295000.ckpt",1.000000,0.932000,0.829,0.790000,0.926000,14.175,OK,1
"1-303000.ckpt",1.000000,0.930000,0.831,0.777000,0.922000,13.852,OK,1
"0-10000.ckpt",0.999000,0.954000,0.822,0.846000,0.954000,15.791,OK,2
"0-107000.ckpt",0.999000,0.950000,0.829,0.803000,0.937000,14.340,OK,2
"0-114000.ckpt",0.997000,0.947000,0.830,0.808000,0.943000,13.730,OK,2
"0-121000.ckpt",1.000000,0.941000,0.829,0.814000,0.943000,13.439,OK,2
"0-129000.ckpt",1.000000,0.937000,0.828,0.802000,0.933000,14.310,OK,2
"0-136000.ckpt",1.000000,0.933000,0.827,0.803000,0.939000,14.010,OK,2
"0-143000.ckpt",1.000000,0.942000,0.830,0.780000,0.931000,13.839,OK,2
"0-15000.ckpt",1.000000,0.960000,0.821,0.878000,0.971000,13.469,OK,2
"0-157000.ckpt",1.000000,0.931000,0.829,0.759000,0.917000,13.707,OK,2
"0-164000.ckpt",1.000000,0.936000,0.829,0.786000,0.929000,13.897,OK,2
"0-171000.ckpt",1.000000,0.928000,0.827,0.783000,0.922000,13.957,OK,2
"0-179000.ckpt",1.000000,0.935000,0.828,0.782000,0.916000,14.224,OK,2
"0-186000.ckpt",1.000000,0.935000,0.828,0.800000,0.934000,14.512,OK,2
"0-193000.ckpt",1.000000,0.936000,0.831,0.782000,0.923000,13.670,OK,2
"0-20000.ckpt",0.999000,0.962000,0.823,0.857000,0.950000,13.990,OK,2
"0-25000.ckpt",0.997000,0.954000,0.828,0.838000,0.956000,13.599,OK,2
"0-32000.ckpt",0.998000,0.952000,0.828,0.835000,0.947000,13.735,OK,2
"0-4000.ckpt",0.999000,0.917000,0.816,0.846000,0.920000,13.515,OK,2
"0-47000.ckpt",1.000000,0.933000,0.827,0.805000,0.935000,13.564,OK,2
